Female,Condition,Similarity,lik1,lik2,lik3,lik4,pa1,pa2,na1,na2,mat,mat2,aff1,aff2,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,appearance1,appearance2,appearance3,mv1,mv2,mv3,mv4,mv5,mv6,age,id
0,0,1,5,6,6,6,6,6,1,1,1,1,"
1",2,"
1",2," 
1",3," 
1"," 
1"," 
1"," 
1",3,5,5," 
1",5,6,6,6,5,5," 
1",5,2,44,34
1,1,1,7,7,7,7,7,7,1,1,1,1,4,4,"
1"," 
1"," 
1",4," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",6,7,7,7,7,6," 
1",6,4,67,35
0,0,1,4,5,4,4,4,4,1,1,1,1,4,3,"
1"," 
1"," 
1",4," 
1"," 
1"," 
1"," 
1",3,5,4,2,5,5,5,6,6,5,6,6,6,46,36
0,0,1,7,7,7,7,7,7,1,1,7,7,7,7,5,7,7,7,4," 
1",7," 
1",7,7,7,7,4,4,4,3,3,2," 
1",3,2,32,37
0,1,1,5,4,5,6,5,4,5,5,7,7,7,"
1",4,4,5,4,5,4,5,4,4,4,3,5,4,5,5,4,5,4,4,4,4,21,38
0,1,1,4,4,4,4,4,4,4,4,6,6,6,6,3,2,2,2,2,2,2,2,2,2,2,2,5,6,6,4,5,5,5,5,5,21,39
0,1,1,4,4,5,4,4,4,4,4,3,3,3,3,2,2,2,4,2,2,2,2,4,4,3,2,4,4,4,5,5,5,4,5,5,30,40
0,0,1,4,5,4,4,4,4,1,1,7,7,"
1",3,"
1"," 
1"," 
1",4," 
1"," 
1"," 
1"," 
1"," 
1",4,7," 
1",4,4,4,4,4,2,2,4,2,29,41
0,0,1,4,6,4,4,4,6,1,1,"
1","
1",6,6,"
1"," 
1"," 
1",5," 
1"," 
1",2," 
1",4,3,2," 
1",4,3,3,4,3,2,2,2," 
1",39,42
0,1,1,6,7,7,6,6,6,1,1,6,5,6,6,"
1"," 
1",2,3," 
1"," 
1",2," 
1",5,6," 
1"," 
1",6,7,6,6,5,6,4,6,5,28,43
1,0,1,4,5,5,5,5,5,1,1,"
1","
1",5,2,"
1"," 
1",3,2," 
1"," 
1"," 
1"," 
1",2,2," 
1"," 
1",5,5,4,4,5,5,7,5,5,35,44
0,0,1,7,7,6,7,7,7,1,1,2,3,4,4,2,5,5,6,4,3,5,2,6,6,5,6,4,3,3," 
1"," 
1"," 
1"," 
1",2," 
1",28,45
0,1,1,2,1,1,1,1,1,6,6,3,2,"
1",2,5,2,4,4,3,2,2,3,2,3,2,2,5,4,5,2,4,2,3,4,2,32,46
0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,49,47
1,0,1,6,7,5,6,6,6,2,1,"
1","
1",7,6,2,3,3,2,4," 
1",3,2,4,4,2,2,5,4,5,3,4," 
1",2,4," 
1",27,48
1,1,1,3,4,4,4,4,4,2,1,2,"
1",2,2,2,3,2,2," 
1"," 
1"," 
1"," 
1",2,2," 
1"," 
1",1,1,1," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",19,49
0,0,1,6,5,6,6,5,6,1,1,5,4,4,4,"
1"," 
1"," 
1",7,4,3,2,5,3,3,4,3,3,3,4,2,4,3,3,3,3,28,50
1,1,1,4,4,4,4,4,4,1,1,5,5,5,6,2,2,2,5,2,2,2,2,6,6,6,2,5,4,4,6,6,5,4,5,4,64,51
0,1,1,4,4,4,4,4,4,4,4,5,5,"
1",5,2,2,2,4,3,2,2,3,5,4,4,4,4,3,3,4,4,4,4,4,4,30,52
0,0,1,4,6,4,5,4,6,1,1,"
1","
1",7,7,"
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",5,5,5,6,6,5,4,5,4,29,53
0,1,1,1,1,3,4,4,4,1,1,4,4,4,4,"
1"," 
1"," 
1",5," 
1"," 
1"," 
1"," 
1",5,4," 
1"," 
1",4,4,4,5,4,2," 
1",4,4,33,54
0,0,1,6,6,6,7,6,6,2,2,"
1","
1",7,7,4,5,6,7,2,2,5,2,6,6,5,6,5,3,3,2,2,2," 
1",3,2,39,55
0,1,1,5,5,5,5,5,5,3,3,5,5,2,2,2,2,2,5,5,2,2,2,4,3,3,3,3,4,4,4,4,4,4,4,4,32,56
0,1,1,5,5,7,6,6,6,1,1,2,2,2,2,"
1"," 
1"," 
1"," 
1"," 
1",2,2,2,2,2,2," 
1",4,4,4,5,6,5,5,5,6,41,57
1,1,1,1,1,1,1,1,1,5,5,6,6,"
1",2,6,7,5,7,5,3,3," 
1",5,5,4,3,5,5,5,5,6,5,2,6,3,33,58
1,1,1,5,6,4,3,4,4,5,4,2,6,"
1",3,4,3,4," 
1",2,3,3,3,2,6,4,5,6,3,3,6,6,6,5,6,5,41,59
0,0,1,4,6,4,5,5,5,3,3,2,2,3,2,"
1"," 
1",3,2," 
1",5,6," 
1",5,6,6,3,3,4,4,3," 
1"," 
1",4,3," 
1",38,60
0,1,1,5,4,4,4,5,4,4,4,5,6,4,7,"
1",5," 
1",6," 
1"," 
1"," 
1"," 
1",4,6,7," 
1",6,7,6,5,6,5,5,7,5,37,61
1,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,5,4,5,4,4,3,4,4,4,4,5,5,40,62
1,0,1,6,6,6,6,6,6,2,2,"
1","
1",5,5,"
1",2,2,3," 
1",4,4,2,2," 
1"," 
1"," 
1",5,5,5,4,3,2,2,3,2,66,63
1,1,1,1,5,1,1,1,1,6,4,2,6,2,6,4,6,3,5,2,2," 
1",7,5,5,5," 
1",7,7,7,6,6,6,2,6,4,30,64
0,0,1,6,7,6,7,6,7,1,1,"
1",6,"
1",7,"
1",2," 
1",6," 
1"," 
1"," 
1"," 
1",7,6,5," 
1",5,7,7,6,7,6,5,6,6,31,65
0,1,1,1,1,1,1,1,1,7,7,7,7,"
1",7,"
1"," 
1"," 
1",7," 
1"," 
1"," 
1"," 
1",7," 
1"," 
1"," 
1",1,1,1," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",44,66
1,1,1,3,3,5,4,1,1,2,1,3,3,"
1","
1","
1",4,2,5," 
1"," 
1"," 
1"," 
1",3,3," 
1"," 
1",4,3,3,3,4,2,6,6,6,24,67
0,0,1,6,6,6,6,5,5,1,1,"
1","
1","
1","
1","
1"," 
1"," 
1",7," 
1",4," 
1"," 
1",7,7," 
1"," 
1",2,1,1,3,2,2," 
1",2," 
1",37,68
0,1,1,4,4,4,4,4,4,1,1,5,5,2,2,2,2," 
1",6,2," 
1"," 
1",2,5,6,4," 
1",4,4,4,4,4,4,3,4,3,37,69
0,0,1,5,6,5,5,5,5,1,1,7,7,2,2,"
1"," 
1"," 
1",4," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",5,5,5,2,2," 
1"," 
1",2," 
1",23,70
1,1,1,5,6,6,6,6,6,2,2,2,2,5,"
1",2,2,2,5,2,2,2,2,5,6,5,2,6,6,6,6,6,6,7,6,6,21,71
1,0,1,4,4,5,5,4,4,1,1,5,5,4,5,4,4,3,7,5,2," 
1",4,7,5,4,4,5,5,5,6,6,6,4,6,6,29,72
0,0,1,4,7,4,4,4,4,4,4,"
1","
1",5,5,"
1"," 
1",3,5," 
1"," 
1",6," 
1",4,5,3," 
1",3,3,3," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",44,73
0,0,1,4,4,4,4,4,4,1,1,"
1","
1",4,"
1","
1"," 
1"," 
1",6," 
1"," 
1"," 
1"," 
1",6,6,4,5,5,4,4,5,4,4,7,5,5,28,74
0,0,1,4,5,5,5,4,4,3,3,3,2,4,2,2,5,5,6,5,4,3,3,3,6,3,2,5,3,1,6,4,2,5,6,2,51,75
1,1,1,5,6,4,4,4,4,2,2,1,"
1","
1",7,"
1"," 
1",4,3,2," 
1",2,2,4,4,2," 
1",5,3,3,4,4,5," 
1",4,4,38,76
1,0,1,4,6,5,5,6,6,1,1,1,"
1",4,4,"
1"," 
1",2,4," 
1",5,5,2," 
1",6,4,4,3,3,3,5,4,3," 
1",3,2,43,77
0,1,1,2,1,1,1,2,1,6,7,1,"
1",4,2,3,4,5,5," 
1",2,3," 
1",5,5,6,5,4,4,4,3,3,3,2,3,3,27,78
0,1,1,3,3,4,3,3,2,5,5,3,3,"
1",3,3,4,4,5,5,4,4,3,4,3,3,2,5,6,5,5,5,5,4,5,4,54,79
1,1,1,1,1,3,2,2,2,6,5,1,"
1","
1","
1","
1"," 
1"," 
1",5," 
1"," 
1"," 
1"," 
1",5," 
1"," 
1"," 
1",6,6,6,7,7,7,7,7,7,27,80
0,0,1,6,6,6,6,7,7,1,1,7,7,4,4,3,3,2,4,2,2,2,2,3,3,3,5,5,5,5,5,5,6,5,5,5,48,81
0,1,1,2,2,4,2,2,2,5,5,2,2,4,4,"
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",4,4,4,4,4,4,3,4," 
1",48,82
1,1,1,4,5,5,5,4,4,2,2,4,4,4,5,2,2,2,4," 
1",3,3," 
1",5,5,4,5,4,4,4,4,4,4,4,4,4,60,83
0,1,1,6,4,5,5,6,3,4,4,6,5,5,7,5,6,4,4,5,6,4,6,6,6,7,5,5,4,6,6,6,7,5,6,4,25,84
1,0,1,6,6,7,6,6,7,1,1,5,6,6,6,"
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",4,2,2," 
1",4,5,5,6,4,4,1,3," 
1",67,85
1,0,1,6,6,6,6,6,6,1,1,4,4,5,5,2,2,4,4,2,2,2,2,2,3,2,2,5,5,5,4,4,4,1,4,4,59,86
0,0,1,6,6,6,6,6,6,1,1,5,5,5,6,2,4,2,6,2,2,2,2,5,5,5,5,4,4,4,4,4,4,1,4," 
1",56,87
1,0,1,4,5,5,5,6,6,1,1,3,3,7,7,"
1"," 
1"," 
1",4," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",6,6,6,5,5,5,5,5,5,69,88
1,1,1,5,6,5,4,3,2,6,6,"
1","
1",5,6,5," 
1",6,3," 
1"," 
1"," 
1"," 
1",7,5,2,7,4,3,3,5,5,5,5,6,6,36,89
0,0,1,6,6,6,6,6,6,1,1,"
1","
1",3,2,"
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",2," 
1"," 
1"," 
1",4,5,5,4,4,3,3,3,3,40,90
0,1,1,3,3,3,3,3,3,3,3,3,5,2,3,4,4,3,3,3,5,4,4,5,5,5,4,4,3,3,4,4,4,2,4,2,59,91
1,1,1,5,6,4,5,5,5,3,3,"
1","
1",7,7,2,2," 
1",6," 
1"," 
1"," 
1"," 
1",6,6,5,2,3,5,4,5,4,2," 
1",5," 
1",62,92
1,0,1,7,7,7,7,7,7,1,1,"
1","
1",7,7,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4," 
1",3," 
1",46,93
0,0,1,5,5,5,6,6,6,1,1,3,5,3,2,2,2,2,6," 
1"," 
1"," 
1"," 
1",2,2," 
1"," 
1",4,5,5,6,5,6,3,5,3,60,94
