Gender,Sim,id,condition,liking1,liking2,liking3,liking4,pa1,pa2,na1,na2,MAT,MAT,AFF,AFF,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,HUM1,HUM2,HUM3,MV1,MV2,MV3,MV4,MV5,MV6,age,pop,pop,ideal
0,1,38,1,3,3,3,3,4,4,4,4,2,4,1,4,1,1,1,1,1,1,1,1,3,4,2,2,5,5,5,6,4,4,1,3,1,27,2,3,3
1,1,39,0,4,5,6,6,5,5,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,2,2,2,2,2,32,1,1,4
1,1,40,0,5,5,5,6,6,6,2,2,5,1,1,1,2,5,4,1,2,2,2,6,3,5,2,1,6,4,4,6,6,5,1,5,2,40,5,1,5
1,1,41,1,6,6,6,6,6,6,2,2,7,7,5,5,3,6,3,4,5,3,3,1,5,4,4,5,5,5,5,6,6,6,4,6,6,42,5,3,1
1,1,42,1,4,4,4,4,1,1,5,4,3,3,4,4,4,4,1,5,1,1,1,1,1,1,1,1,4,4,4,5,4,4,1,4,1,48,1,1,1
1,1,43,1,6,6,6,7,5,5,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,6,7,4,2,1,1,6,5,4,40,3,2,1
0,1,44,1,4,5,5,5,4,4,5,5,5,4,2,2,3,5,2,6,2,2,1,1,4,5,5,4,5,4,5,6,5,5,3,6,5,19,6,3,5
1,1,45,0,6,6,6,6,7,7,1,1,2,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,6,7,7,7,7,7,32,4,1,2
0,1,46,0,4,4,4,4,4,4,1,1,1,1,4,4,1,7,7,7,1,1,7,1,7,7,7,7,7,7,7,7,7,1,1,7,4,27,1,4,1
1,1,47,1,1,4,4,5,1,1,3,4,7,7,1,1,4,4,3,5,7,4,5,1,4,4,4,1,5,5,5,3,5,5,1,4,5,48,1,1,1
1,1,48,1,5,5,6,6,1,1,7,7,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,6,7,7,1,7,1,49,1,1,4
0,1,49,1,4,4,4,4,6,4,1,1,6,6,1,5,1,1,1,1,1,1,1,1,4,3,1,4,5,3,6,6,6,5,1,5,5,43,1,1,1
1,1,50,0,4,4,4,4,4,4,2,2,1,1,5,5,4,1,4,1,1,1,1,1,1,1,5,4,5,5,4,4,4,4,1,4,4,36,7,7,7
0,1,51,0,5,6,6,6,5,6,2,2,5,2,4,4,3,2,2,6,3,4,3,2,4,3,3,3,6,5,4,5,4,3,3,3,2,36,5,4,3
0,1,52,1,5,6,7,7,4,4,5,5,7,7,5,2,2,6,3,7,1,1,1,7,7,7,7,5,6,6,7,7,7,7,1,7,1,29,7,4,7
0,1,53,0,4,4,4,4,5,5,1,1,3,6,6,6,4,5,5,7,1,2,2,2,6,5,5,4,7,7,7,2,3,3,1,2,2,34,6,5,2
1,1,54,1,2,2,3,2,1,1,6,5,6,6,1,1,2,2,2,5,2,2,2,2,6,5,4,4,5,5,5,6,5,5,7,5,5,35,4,3,2
1,1,55,0,4,6,6,6,6,6,1,1,6,1,4,2,1,1,1,1,1,1,1,1,2,1,1,2,5,5,7,6,1,2,1,2,1,37,5,4,6
1,1,56,0,6,6,6,6,6,6,1,1,6,1,4,4,1,1,2,1,1,5,4,3,4,3,3,2,5,5,5,4,3,5,1,4,4,43,1,5,4
1,1,57,0,7,7,7,7,7,6,2,2,7,7,7,6,1,6,2,2,2,2,2,2,6,5,5,1,5,5,6,6,5,5,6,5,3,32,4,3,4
1,1,58,0,6,7,7,7,6,7,3,1,4,4,7,6,3,4,3,7,3,3,4,2,7,6,5,4,6,5,5,5,4,4,6,6,5,29,3,4,3
0,1,59,0,5,7,5,6,5,6,1,1,5,6,1,1,1,6,1,5,1,1,2,1,1,1,3,2,5,2,1,5,7,1,1,6,1,33,5,1,2
1,1,60,1,5,5,5,5,3,3,5,5,5,5,6,6,5,6,6,5,5,5,5,4,6,6,5,6,5,4,4,5,5,5,5,5,5,47,5,5,3
0,1,61,1,1,1,1,1,1,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,4,7,7,33,5,4,5
1,1,62,0,5,5,6,7,6,6,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,6,7,6,7,6,33,6,1,4
1,1,63,0,6,5,6,4,6,5,1,1,1,1,5,6,1,1,2,1,1,2,3,1,1,4,2,3,4,5,5,3,2,1,6,4,2,24,4,2,2
1,1,64,1,4,6,5,5,3,4,6,6,6,6,5,5,6,7,5,5,4,3,4,5,6,6,3,5,6,6,6,7,5,6,4,5,3,32,4,3,4
1,1,65,1,7,6,7,7,6,7,1,1,7,7,6,1,1,2,1,1,1,1,1,1,1,3,1,1,4,3,5,5,5,2,2,7,1,20,7,4,1
0,1,66,1,2,1,3,1,1,1,6,7,6,7,2,4,2,1,2,1,1,2,1,1,2,3,1,2,4,7,5,5,2,4,4,1,1,28,4,3,5
0,1,67,0,2,7,4,6,6,6,2,2,2,7,2,2,4,7,2,7,5,2,2,2,6,7,7,2,7,7,7,4,2,2,5,7,7,37,4,2,5
1,1,68,0,6,6,6,6,5,5,1,1,5,4,4,4,2,3,3,2,1,1,2,1,2,2,2,3,5,5,5,6,5,5,6,6,4,27,4,1,2
