Gender,Sim,id,condition,liking1,liking2,liking3,liking4,pa1,pa2,na1,na2,MAT,MAT,AFF,AFF,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,HUM1,HUM2,HUM3,MV1,MV2,MV3,MV4,MV5,MV6,age,pop,pop,ideal
0,0,67,0,2,7,6,5,6,6,2,2,2,7,2,2,4,7,2,7,5,2,2,2,6,7,7,2,7,7,7,4,2,2,5,7,7,37,4,2,5
1,0,68,0,5,6,5,5,5,5,1,1,5,4,4,4,2,3,3,2,1,1,2,1,2,2,2,3,5,5,5,6,5,5,6,6,4,27,4,1,2
1,0,69,0,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,5,5,1,1,1,4,1,3,21,6,7,1
1,0,70,0,4,4,4,4,4,4,2,2,4,4,6,6,1,1,1,4,1,1,1,1,4,2,1,1,4,4,4,5,5,5,4,5,4,40,4,4,2
1,0,71,0,2,2,2,2,1,1,5,5,7,1,7,7,1,1,1,6,1,1,1,1,6,5,5,1,2,2,2,7,6,5,7,7,7,28,7,1,5
1,0,72,1,4,4,4,4,3,3,3,3,6,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,4,6,32,1,1,1
0,0,73,1,4,5,4,4,4,4,1,1,6,6,5,4,1,1,1,4,1,2,1,1,3,4,4,2,6,7,7,6,5,4,2,4,4,39,5,3,3
1,0,74,1,4,4,4,4,4,4,6,6,5,3,3,3,3,3,5,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,30,4,4,5
0,0,75,0,4,4,4,4,6,6,1,1,6,6,6,6,2,3,2,4,2,2,2,2,4,4,2,2,4,4,4,5,5,4,4,5,5,37,7,4,2
1,0,76,0,5,5,5,5,6,6,1,1,6,1,6,6,1,1,1,4,1,1,1,1,4,4,3,1,4,5,5,5,5,6,1,6,6,43,1,1,3
1,0,77,1,1,1,1,1,1,1,7,7,7,7,1,7,6,6,1,6,2,1,1,1,6,6,5,5,6,5,6,5,6,6,2,6,2,31,2,5,3
1,0,78,0,7,7,7,7,7,7,1,1,7,4,7,7,1,1,1,4,1,1,1,1,4,4,1,1,4,7,7,7,7,7,7,7,7,39,1,1,7
0,0,79,0,5,6,5,5,5,6,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,4,4,4,5,5,5,3,5,3,33,3,3,4
1,0,80,0,4,4,4,4,4,4,1,1,1,1,4,3,3,3,2,4,2,1,1,1,4,4,4,2,6,6,6,4,4,3,5,4,4,25,3,4,3
1,0,81,0,6,6,6,6,7,7,1,1,7,7,5,6,2,5,3,5,3,4,2,1,4,5,2,2,4,4,5,7,7,6,6,6,7,46,5,2,4
0,0,82,0,6,4,4,5,4,5,1,1,5,7,6,5,3,4,2,7,2,3,2,2,3,1,3,2,5,6,5,4,3,4,5,7,5,24,6,7,1
1,0,83,0,4,6,6,6,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,5,4,4,4,4,4,37,4,3,1
1,0,84,1,4,4,4,5,5,6,1,1,7,7,1,1,2,3,3,6,1,1,1,1,4,3,2,2,4,3,3,6,6,6,7,6,6,29,3,1,3
0,0,85,1,5,5,5,5,6,5,2,2,7,7,5,3,1,5,1,7,1,1,1,1,7,6,5,1,7,6,6,5,5,5,6,6,5,33,5,5,5
0,0,86,0,5,5,5,5,6,6,2,2,5,5,5,5,1,1,1,3,2,2,2,1,1,1,2,1,2,2,2,3,2,2,1,2,1,30,6,5,5
1,0,87,1,1,1,2,2,2,3,7,5,7,7,1,1,4,7,3,4,1,1,1,1,4,4,3,4,5,7,7,6,6,6,6,6,6,28,4,4,3
0,0,88,1,3,2,4,4,6,6,2,2,7,7,5,7,6,6,7,7,7,6,6,5,7,7,7,4,6,6,7,4,3,3,1,2,1,45,1,4,2
1,0,89,1,3,3,3,3,4,4,4,4,7,7,1,1,3,3,2,6,2,2,2,4,3,6,4,2,4,4,4,5,5,6,3,6,4,34,3,2,3
1,0,90,1,4,5,4,4,4,4,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,4,4,5,4,4,25,5,5,2
1,0,91,0,3,5,4,5,4,4,1,1,5,3,5,3,2,3,1,1,2,2,1,4,1,2,1,4,2,2,2,3,5,3,1,5,6,25,3,1,2
1,0,92,1,5,5,6,5,4,4,4,4,7,7,5,7,1,1,1,4,1,1,1,1,5,3,1,4,3,3,3,4,5,6,7,6,4,28,4,5,1
1,0,93,0,4,4,4,4,5,5,1,1,4,1,5,5,2,2,3,4,2,1,1,1,4,4,1,2,4,4,5,6,4,4,3,5,4,46,5,2,3
0,0,94,0,4,3,3,4,4,4,5,5,5,4,6,7,1,1,3,2,1,2,2,1,1,1,1,2,7,7,6,6,4,5,4,5,5,38,2,1,2
1,0,95,1,1,1,1,1,1,1,7,7,7,7,1,1,1,4,1,5,1,1,1,1,3,4,3,3,4,4,4,3,5,4,5,5,5,32,4,1,1
1,0,96,1,2,3,3,4,6,6,3,1,7,7,5,5,4,7,7,7,1,1,4,1,7,7,7,4,3,3,5,4,4,5,1,4,2,40,5,3,3
0,0,97,1,4,6,4,4,6,6,2,2,5,4,5,4,1,1,2,4,1,2,2,1,5,4,2,2,5,5,5,4,2,4,2,4,2,45,4,3,2
1,0,98,0,4,4,4,4,5,5,3,3,7,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,22,4,6,1
1,0,99,0,4,4,5,5,4,3,3,2,4,4,3,3,2,3,2,4,2,2,1,1,5,4,2,2,7,7,7,5,4,3,1,4,5,44,7,7,1
